"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"45",NA,"ALL",2914.58,2909.69,2907.52,2845.76,2870.44,2912.35,3799.97,2914.58,2914.28,2914.57,2914.37,3071.08,2903.3,2902.53
"46",NA,"Trawl_wdis",662.123,658.988,664.164,647.535,648.569,663.358,745.521,662.124,661.517,662.044,661.847,674.263,653.912,658.267
"47",NA,"Non.Trawl_wdis",1230.93,1230.18,1223.72,1197.22,1209.97,1231.35,1308.25,1230.93,1230.87,1230.94,1230.86,1306.79,1225.85,1227.83
"48",NA,"Ocean",1021.53,1020.52,1019.63,1001,1011.91,1017.64,1746.2,1021.53,1021.89,1021.58,1021.67,1090.02,1023.54,1016.43
"49",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"NatM_uniform_Fem_GP_1",0.19,NA,NA,0.25,0.242091,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"66",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,7.10543e-15,0,0,0,0,0,0,0
"67",NA,"L_at_Amax_Fem_GP_1",50.8462,50.8663,50.7478,50.2838,51.0018,51.0018,50.9157,50.8462,50.8239,50.8421,50.8391,51.0284,50.9055,50.8316
"68",NA,"VonBert_K_Fem_GP_1",0.183663,0.184326,0.182537,0.184255,0.181595,0.181595,0.181822,0.183662,0.18374,0.18368,0.183677,0.181839,0.183538,0.182901
"69",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"70",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"71",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05
"72",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"73",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
"74",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.38061,-0.380418,-0.380418,-0.380418,-0.380418
"75",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,2.54537e-05,1.41e-08,1.41e-08,1.41e-08
"76",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,2.89504,4.685,4.685,4.685
"77",NA,"NatM_uniform_Mal_GP_1",0.17,NA,NA,0.113459,0.152732,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"78",NA,"L_at_Amin_Mal_GP_1",0,0,0,0,0,0,4.01999,0,0,0,0,0,0,0
"79",NA,"L_at_Amax_Mal_GP_1",46.615,46.7199,46.5089,48.5295,46.0356,46.0356,46.6814,46.6152,46.5766,46.6093,46.5984,47.0625,46.7014,46.1453
"80",NA,"VonBert_K_Mal_GP_1",0.209433,0.208678,0.208313,0.197349,0.215239,0.215239,0.192949,0.209432,0.209691,0.209472,0.209543,0.204517,0.208865,0.212851
"81",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"82",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"83",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05
"84",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"85",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"87",NA,"SR_LN(R0)",8.13491,8.07046,9.81901,7.82105,8.22307,8.12147,8.09325,8.13493,8.11224,8.13203,8.12421,8.02087,8.04028,8.0847
"88",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"89",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"90",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",NA,"Main_RecrDev_1980",-0.763698,-0.737966,-0.816208,-0.833994,-0.722269,-0.761846,-0.763896,-0.763885,-0.747682,-0.761915,-0.755406,NA,-0.232194,-0.732479
"93",NA,"Main_RecrDev_1981",-0.782661,-0.759441,-0.828219,-0.830265,-0.740912,-0.780933,-0.758501,-0.782734,-0.767071,-0.780943,-0.774436,NA,-0.350704,-0.774034
"94",NA,"Main_RecrDev_1982",-0.571477,-0.552431,-0.608814,-0.59672,-0.537478,-0.570108,-0.462319,-0.571512,-0.554184,-0.569563,-0.562303,NA,-0.144536,-0.584284
"95",NA,"Main_RecrDev_1983",-0.613467,-0.596904,-0.644519,-0.628339,-0.580019,-0.611662,-0.523253,-0.613497,-0.595331,-0.611409,-0.604051,NA,-0.171379,-0.630043
"96",NA,"Main_RecrDev_1984",-0.175511,-0.163511,-0.192184,-0.153365,-0.151281,-0.174924,-0.071508,-0.175547,-0.155758,-0.173228,-0.1655,NA,0.223507,-0.205122
"97",NA,"Main_RecrDev_1985",0.07481,0.0839322,0.0675853,0.11823,0.0901587,0.0737243,0.124486,0.0747983,0.0961445,0.0773374,0.0848565,NA,0.45503,0.0283016
"98",NA,"Main_RecrDev_1986",-0.0866929,-0.0790538,-0.0884298,-0.0324055,-0.0795534,-0.0900291,-0.0585834,-0.0866905,-0.0635789,-0.0838482,-0.0768189,NA,0.287955,-0.143373
"99",NA,"Main_RecrDev_1987",-0.131917,-0.127355,-0.127662,-0.0573883,-0.123754,-0.137332,-0.145109,-0.131946,-0.10727,-0.128752,-0.121959,NA,0.232237,-0.180141
"100",NA,"Main_RecrDev_1988",-0.0430835,-0.0427532,-0.0343715,0.04753,-0.032383,-0.0510803,-0.110986,-0.0430892,-0.0181836,-0.0397939,-0.03288,NA,0.309456,-0.0744521
"101",NA,"Main_RecrDev_1989",0.226656,0.223023,0.23805,0.325743,0.240643,0.215296,0.141703,0.226643,0.249476,0.229728,0.237008,NA,0.55902,0.204666
"102",NA,"Main_RecrDev_1990",0.128922,0.123887,0.139106,0.223059,0.146007,0.116696,0.0782683,0.128923,0.146664,0.131342,0.138867,NA,0.44444,0.121865
"103",NA,"Main_RecrDev_1991",0.247942,0.243759,0.25723,0.332505,0.265515,0.235667,0.19934,0.247936,0.258533,0.249334,0.25627,NA,0.540781,0.255999
"104",NA,"Main_RecrDev_1992",0.150957,0.149268,0.157854,0.220405,0.16605,0.139378,0.108811,0.150953,0.155249,0.151384,0.156479,NA,0.411397,0.159325
"105",NA,"Main_RecrDev_1993",0.136072,0.135653,0.142883,0.187827,0.144701,0.127664,0.105009,0.136066,0.133536,0.135576,0.138468,NA,0.377183,0.139345
"106",NA,"Main_RecrDev_1994",0.413975,0.413285,0.420977,0.451214,0.414058,0.410082,0.405876,0.413981,0.404147,0.412567,0.413077,NA,0.632521,0.40783
"107",NA,"Main_RecrDev_1995",0.337799,0.334838,0.345915,0.362899,0.328581,0.338601,0.342954,0.337797,0.320224,0.33533,0.333005,NA,0.535927,0.340614
"108",NA,"Main_RecrDev_1996",0.0472607,0.0421921,0.0559457,0.0647875,0.0336006,0.050544,0.057792,0.0472499,0.0257445,0.044189,0.0396309,NA,0.230358,0.0619732
"109",NA,"Main_RecrDev_1997",-0.0013206,-0.00798957,0.0092502,0.00516989,-0.0161102,-0.000623494,0.0182216,-0.00129568,-0.0251747,-0.0047137,-0.0112427,NA,0.171275,0.0198566
"110",NA,"Main_RecrDev_1998",-0.313813,-0.318688,-0.308803,-0.328055,-0.330051,-0.310985,-0.283088,-0.313827,-0.337231,-0.317055,-0.324558,NA,-0.131275,-0.288254
"111",NA,"Main_RecrDev_1999",0.506141,0.498581,0.518115,0.500154,0.487247,0.509763,0.510891,0.506137,0.481507,0.50287,0.494379,NA,0.663097,0.534871
"112",NA,"Main_RecrDev_2000",0.825554,0.819831,0.836301,0.816879,0.81342,0.823376,0.83128,0.82559,0.80358,0.822672,0.814373,NA,0.976268,0.842176
"113",NA,"Main_RecrDev_2001",0.183675,0.175258,0.199147,0.197106,0.171532,0.182069,0.160237,0.183567,0.166015,0.181396,0.173306,NA,0.319879,0.180956
"114",NA,"Main_RecrDev_2002",-0.455505,-0.458084,-0.460897,-0.495968,-0.46232,-0.452115,-0.526345,-0.455151,-0.462642,-0.456334,-0.461615,NA,-0.241577,-0.454517
"115",NA,"Main_RecrDev_2003",0.221337,0.21206,0.239209,0.218358,0.202199,0.218489,0.245181,0.221285,0.212629,0.220605,0.213477,NA,0.327288,0.228828
"116",NA,"Main_RecrDev_2004",-1.11732,-1.11411,-1.13145,-1.20176,-1.1187,-1.11326,-1.29364,-1.11732,-1.11769,-1.11696,-1.11907,NA,-0.84101,-1.10587
"117",NA,"Main_RecrDev_2005",0.393698,0.388732,0.405763,0.394273,0.35887,0.386576,0.3777,0.393705,0.380605,0.392516,0.388132,NA,0.51915,0.38427
"118",NA,"Main_RecrDev_2006",0.242403,0.231638,0.245462,0.244914,0.241635,0.260226,0.377618,0.242407,0.226254,0.240318,0.235613,NA,0.371953,0.224931
"119",NA,"Main_RecrDev_2007",-0.413038,-0.417057,-0.401924,-0.436789,-0.440924,-0.431997,-0.561785,-0.412998,-0.422259,-0.414399,-0.418602,NA,-0.22212,-0.43372
"120",NA,"Main_RecrDev_2008",0.994497,0.98606,1.00722,0.999897,0.973706,0.994073,1.0142,0.994493,0.988926,0.993809,0.988327,NA,1.11679,0.993771
"121",NA,"Main_RecrDev_2009",-0.249228,-0.256886,-0.241916,-0.254148,-0.248138,-0.250394,-0.360034,-0.249195,-0.247462,-0.248713,-0.252368,NA,-0.0727229,-0.233832
"122",NA,"Main_RecrDev_2010",0.491118,0.482911,0.502854,0.489825,0.480314,0.489856,0.492668,0.491131,0.494091,0.492024,0.488924,NA,0.627804,0.518304
"123",NA,"Main_RecrDev_2011",0.362077,0.355342,0.371492,0.348359,0.355556,0.361983,0.372314,0.362094,0.363585,0.362814,0.360954,NA,0.510171,0.390916
"124",NA,"Main_RecrDev_2012",0.108353,0.103066,0.11585,0.0828445,0.104166,0.110876,0.137729,0.108375,0.107639,0.108649,0.107644,NA,0.263429,0.125888
"125",NA,"Main_RecrDev_2013",0.466745,0.463256,0.471965,0.42437,0.461892,0.471645,0.474724,0.466754,0.462509,0.466465,0.465798,NA,0.624012,0.472712
"126",NA,"Main_RecrDev_2014",0.313665,0.31213,0.315721,0.249768,0.304739,0.323134,0.353119,0.313683,0.30665,0.312768,0.311744,NA,0.478453,0.321665
"127",NA,"Main_RecrDev_2015",-0.50598,-0.504361,-0.508928,-0.596857,-0.518605,-0.493008,-0.449383,-0.505962,-0.511338,-0.506822,-0.508155,NA,-0.314069,-0.488329
"128",NA,"Main_RecrDev_2016",0.33098,0.333414,0.325675,0.229762,0.313367,0.350476,0.432235,0.331002,0.327207,0.330413,0.328688,NA,0.511147,0.343802
"129",NA,"Main_RecrDev_2017",-0.979919,-0.975531,-0.995245,-1.08983,-0.995456,-0.959896,-0.993922,-0.979914,-0.978057,-0.979654,-0.980053,NA,-0.735416,-0.974415
"130",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"131",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"132",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"133",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"134",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"135",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"136",NA,"ForeRecr_2024",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"137",NA,"ForeRecr_2025",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"138",NA,"ForeRecr_2026",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"139",NA,"ForeRecr_2027",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"140",NA,"ForeRecr_2028",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"141",NA,"ForeRecr_2029",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"142",NA,"ForeRecr_2030",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"143",NA,"ForeRecr_2031",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"144",NA,"ForeRecr_2032",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"145",NA,"ForeRecr_2033",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"146",NA,"ForeRecr_2034",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"147",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"148",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"149",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"150",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"151",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.68434,-5.72118,-5.62672,-5.64861,-5.7209,-5.63226,-5.54601,-5.6844,-5.67648,-5.6831,-5.68106,-5.48578,-5.81444,-5.77505
"152",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0315113,0.0322206,0.031511,0.0472796,0.0326433,0.0304222,0.0292418,0.0315111,0.0306934,0.0313966,0.0311182,0.109278,0.0245124,0.0281508
"153",NA,"LnQ_base_Ocean(3)",-9.14607,-9.18335,-9.08884,-9.1184,-9.17869,-9.09334,-9.00797,-9.14614,-9.1376,-9.14475,-9.1425,-8.97348,-9.2691,-9.41001
"154",NA,"Q_extraSD_Ocean(3)",0.210671,0.209006,0.211442,0.187274,0.209234,0.212429,0.214268,0.210683,0.212347,0.210901,0.211482,0.142533,0.231134,0.214571
"155",NA,"LnQ_base_MPA(5)",-7.22195,-7.25883,-7.16083,-7.18297,-7.25328,-7.16874,-7.07993,-7.22202,-7.2147,-7.22079,-7.21897,-6.97207,-7.36174,-7.04006
"156",NA,"Q_extraSD_MPA(5)",0.147167,0.147996,0.145649,0.132306,0.146299,0.147607,0.147153,0.147162,0.147405,0.147195,0.147282,0.0777832,0.15496,0.148082
"157",NA,"LnQ_base_Acoustic_Visual(6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",NA,"Q_extraSD_Acoustic_Visual(6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",NA,"LnQ_base_Tag(7)",-1.00038,-1.02677,-0.97527,-0.932183,-1.04718,-0.957401,-0.887436,-1.00043,-0.993172,-0.999248,-0.997367,-0.891093,-1.10944,-0.837489
"160",NA,"Q_extraSD_Tag(7)",0.096241,0.0965726,0.0942399,0.0972088,0.0956038,0.0960728,0.0946148,0.0962432,0.0966989,0.0963021,0.0964761,0.130735,0.101724,0.0923213
"161",NA,"LnQ_base_MRFSS(8)",-7.68078,-7.70998,-7.63149,-7.7444,-7.70842,-7.64204,-7.587,-7.68081,-7.65687,-7.67755,-7.66994,-7.7237,-7.35266,-8.00136
"162",NA,"Q_extraSD_MRFSS(8)",0.319467,0.311423,0.32643,0.330516,0.311575,0.330767,0.345456,0.319471,0.312191,0.318649,0.315919,0.244261,0.0584978,0.325701
"163",NA,"Size_DblN_peak_Trawl_wdis(1)",53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,57.0078
"164",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0
"165",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,-0.61622
"166",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9
"167",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"168",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,10
"169",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,36.2388
"170",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"171",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,0.0066395
"172",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,-9
"173",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"174",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,10
"175",NA,"Size_DblN_peak_Ocean(3)",42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,31.0002
"176",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"177",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,-0.637102
"178",NA,"Size_DblN_descend_se_Ocean(3)",2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,-9
"179",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"180",NA,"Size_DblN_end_logit_Ocean(3)",-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,10
"181",NA,"Size_DblN_peak_Shore(4)",22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,33.0162
"182",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"183",NA,"Size_DblN_ascend_se_Shore(4)",3,3,3,3,3,3,3,3,3,3,3,3,3,-0.559693
"184",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,-9
