"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"121",NA,"Main_RecrDev_2003",0.24053,0.236627,0.25981,0.18668,0.263544,0.229494,0.239129,0.239314,0.348446,0.357723,0.188233,0.276486,0.297098,0.257175,-0.141296
"122",NA,"Main_RecrDev_2004",-1.32913,-1.32809,-1.32365,-1.33181,-1.32435,-1.27247,-1.33211,-1.32914,-2.36989,-2.00077,-0.962981,-1.35117,-1.27745,-1.26872,-0.236472
"123",NA,"Main_RecrDev_2005",0.411669,0.408494,0.435695,0.347725,0.436313,0.410305,0.40929,0.410814,0.461384,0.328428,0.392399,0.435531,0.299996,0.236163,-0.030475
"124",NA,"Main_RecrDev_2006",0.323433,0.320568,0.335436,0.253157,0.345266,0.322056,0.321214,0.322388,0.377121,0.349059,0.246631,0.345136,0.0124905,-0.0330981,0.2887
"125",NA,"Main_RecrDev_2007",-0.497282,-0.498739,-0.504607,-0.551719,-0.484062,-0.479173,-0.49892,-0.497718,-0.576274,-0.526331,-0.352334,-0.490911,-0.127828,-0.161654,0.132829
"126",NA,"Main_RecrDev_2008",1.01149,1.00708,1.01573,0.914971,1.03311,1.00705,1.01433,1.01045,1.06819,1.04278,0.97767,1.03371,1.01258,0.977563,0.713819
"127",NA,"Main_RecrDev_2009",-0.354323,-0.35772,-0.352554,-0.443001,-0.338994,-0.34321,-0.347116,-0.355197,-0.327079,-0.336422,-0.308456,-0.343974,-0.445049,-0.451078,0.343116
"128",NA,"Main_RecrDev_2010",0.493506,0.487391,0.497098,0.369127,0.517825,0.492151,0.501553,0.492438,0.569303,0.556316,0.475605,0.513702,0.502008,0.484052,0.368382
"129",NA,"Main_RecrDev_2011",0.372899,0.365464,0.376351,0.230731,0.39941,0.374404,0.382334,0.371453,0.452087,0.440855,0.35292,0.390931,0.339055,0.329263,0.327042
"130",NA,"Main_RecrDev_2012",0.136254,0.127191,0.139844,-0.0275913,0.165833,0.139484,0.14606,0.136177,0.237345,0.230858,0.0922997,0.153119,0.142589,0.132846,0.171084
"131",NA,"Main_RecrDev_2013",0.471156,0.460011,0.47521,0.280244,0.503949,0.475605,0.481111,0.465895,0.566051,0.568823,0.456429,0.48717,0.505363,0.488191,0.319641
"132",NA,"Main_RecrDev_2014",0.347549,0.334182,0.352323,0.129076,0.383035,0.355052,0.357596,0.347768,0.448017,0.458351,0.323909,0.360532,0.422236,0.390539,0.184933
"133",NA,"Main_RecrDev_2015",-0.45495,-0.470259,-0.449511,-0.690945,-0.418081,-0.439278,-0.44472,-0.46642,-0.346496,-0.331038,-0.505922,-0.448176,-0.336451,-0.374616,-0.44298
"134",NA,"Main_RecrDev_2016",0.419777,0.401727,0.426098,0.161149,0.460373,0.435474,0.430989,0.424966,0.537745,0.568832,0.382935,0.426131,0.601699,0.535247,0.132478
"135",NA,"Main_RecrDev_2017",-0.992884,-1.01001,-0.988238,-1.19701,-0.962854,-0.953673,-0.984233,-0.943427,-0.96753,-0.917986,-0.92178,-1.00471,-0.749404,-0.792089,-1.08292
"136",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",NA,"ForeRecr_2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",NA,"ForeRecr_2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",NA,"ForeRecr_2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",NA,"ForeRecr_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",NA,"ForeRecr_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",NA,"ForeRecr_2029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",NA,"ForeRecr_2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",NA,"ForeRecr_2031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",NA,"ForeRecr_2032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",NA,"ForeRecr_2033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",NA,"ForeRecr_2034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"154",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"155",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"156",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"157",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.59418,-5.56882,-5.60402,NA,-5.63426,-5.58935,-5.60253,-5.59334,-5.94079,-5.95397,-5.51026,-5.59743,-5.351,-5.96978,-5.42654
"158",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0293441,0.0318627,0.0265908,NA,0.0229345,0.0269606,0.028108,0.0293207,0.0265363,0.0289913,0.0318036,0.033527,0.0289886,0.0376122,0.0374161
"159",NA,"LnQ_base_Ocean(3)",-9.05524,-9.03134,-9.06341,-8.91095,NA,-9.04828,-9.06281,-9.05444,-9.39844,-9.41076,-8.97575,-9.06127,-8.8058,-9.42804,-8.90096
"160",NA,"Q_extraSD_Ocean(3)",0.213787,0.208575,0.219747,0.137368,NA,0.219996,0.2172,0.213661,0.242568,0.243518,0.202899,0.205208,0.229453,0.21828,0.202856
"161",NA,"LnQ_base_MPA(5)",-7.13018,-7.10205,-7.14463,-6.90644,-7.18169,-7.12752,NA,-7.12933,-7.49188,-7.49862,-7.04495,-7.12871,-6.86786,-7.48109,-6.98833
"162",NA,"Q_extraSD_MPA(5)",0.147755,0.144616,0.147673,0.0936163,0.1561,0.149751,NA,0.147613,0.171451,0.176026,0.140554,0.146433,0.161825,0.168046,0.144789
"163",NA,"LnQ_base_Acoustic_Visual(6)",0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"164",NA,"Q_extraSD_Acoustic_Visual(6)",0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"165",NA,"LnQ_base_Tag(7)",-0.920061,NA,NA,-0.84132,-0.945857,-0.9145,NA,-0.919449,-1.20894,-1.22411,-0.848302,-0.927889,-0.728012,-1.33878,-0.738732
"166",NA,"Q_extraSD_Tag(7)",0.095133,NA,NA,0.0757794,0.101403,0.0965413,NA,0.0951322,0.0976019,0.0939257,0.0977751,0.0912228,0.0816923,0.074086,0.103711
"167",NA,"LnQ_base_MRFSS(8)",-7.62139,NA,NA,-7.56372,-7.63073,NA,NA,-7.62189,-7.86075,-7.87835,-7.56961,-7.66433,-7.45339,-7.85516,-7.63296
"168",NA,"Q_extraSD_MRFSS(8)",0.335135,NA,NA,0.283618,0.347824,NA,NA,0.335912,0.301425,0.314642,0.337082,0.322016,0.431002,0.294191,0.316051
"169",NA,"Size_DblN_peak_Trawl_wdis(1)",53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314
"170",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372
"171",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"172",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"173",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"174",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"175",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162
"176",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"177",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"178",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632
"179",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"180",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106
"181",NA,"Size_DblN_peak_Ocean(3)",42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317
"182",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"183",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"184",NA,"Size_DblN_descend_se_Ocean(3)",2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208
"185",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"186",NA,"Size_DblN_end_logit_Ocean(3)",-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125
"187",NA,"Size_DblN_peak_Shore(4)",22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713
"188",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
