,Label,Type,0. Reference Model,"01- AV q = 1, low CV","02- Est AV q, low CV","03- AV q = 1, CV0.45","04- Est AV q, CV0.45",05- Tag q 2015,06- Tag q 2015 xvar
78,NA,Wtlen_2_Fem_GP_1,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
79,NA,Mat50%_Fem_GP_1,40.36,40.36,40.36,40.36,40.36,40.36,40.36
80,NA,Mat_slope_Fem_GP_1,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
81,NA,Eggs_scalar_Fem_GP_1,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08
82,NA,Eggs_exp_len_Fem_GP_1,4.685,4.685,4.685,4.685,4.685,4.685,4.685
83,NA,NatM_uniform_Mal_GP_1,0.17,0.17,0.17,0.17,0.17,0.17,0.17
84,NA,L_at_Amin_Mal_GP_1,0,0,0,0,0,0,0
85,NA,L_at_Amax_Mal_GP_1,44.8755,45.3166,44.4828,44.4888,44.4828,45.3835,44.5188
86,NA,VonBert_K_Mal_GP_1,0.223622,0.220608,0.225959,0.225945,0.225959,0.220946,0.22577
87,NA,CV_young_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
88,NA,CV_old_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
89,NA,Wtlen_1_Mal_GP_1,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05
90,NA,Wtlen_2_Mal_GP_1,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
91,NA,CohortGrowDev,1,1,1,1,1,1,1
92,NA,FracFemale_GP_1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
93,NA,SR_LN(R0),8.24482,8.49655,8.07687,8.08608,8.07687,8.25114,8.0898
94,NA,SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72
95,NA,SR_sigmaR,0.6,0.6,0.6,0.6,0.6,0.6,0.6
96,NA,SR_regime,0,0,0,0,0,0,0
97,NA,SR_autocorr,0,0,0,0,0,0,0
98,NA,Main_RecrDev_1980,-1.08,-1.34886,-0.832649,-0.848619,-0.832649,-0.963625,-0.855556
99,NA,Main_RecrDev_1981,-0.862507,-1.08532,-0.657843,-0.671358,-0.657844,-0.754783,-0.676596
100,NA,Main_RecrDev_1982,-0.317025,-0.528556,-0.119576,-0.133327,-0.119576,-0.198045,-0.137129
101,NA,Main_RecrDev_1983,-0.441283,-0.645631,-0.259506,-0.272465,-0.259506,-0.307888,-0.275274
102,NA,Main_RecrDev_1984,-0.276819,-0.477202,-0.100384,-0.113129,-0.100384,-0.141647,-0.115463
103,NA,Main_RecrDev_1985,-0.14697,-0.339946,0.0206269,0.00837976,0.0206269,-0.0128455,0.00643509
104,NA,Main_RecrDev_1986,-0.333052,-0.51143,-0.18168,-0.193015,-0.18168,-0.198406,-0.194364
105,NA,Main_RecrDev_1987,-0.372012,-0.526476,-0.244535,-0.254739,-0.244535,-0.230783,-0.254979
106,NA,Main_RecrDev_1988,-0.296899,-0.419991,-0.198214,-0.207117,-0.198214,-0.145348,-0.206034
107,NA,Main_RecrDev_1989,-0.0140731,-0.105124,0.057041,0.0493504,0.057041,0.148764,0.051655
108,NA,Main_RecrDev_1990,-0.0590344,-0.12289,-0.0115668,-0.018214,-0.0115668,0.114365,-0.0149364
109,NA,Main_RecrDev_1991,0.0777129,0.0383896,0.104412,0.0987177,0.104412,0.258748,0.10271
110,NA,Main_RecrDev_1992,0.00782925,-0.00824716,0.0153496,0.0106578,0.0153496,0.19133,0.0150582
111,NA,Main_RecrDev_1993,0.0231986,0.0164604,0.0254045,0.02126,0.0254045,0.195078,0.0252138
112,NA,Main_RecrDev_1994,0.344175,0.340159,0.346706,0.342976,0.346706,0.494744,0.346122
113,NA,Main_RecrDev_1995,0.303778,0.299786,0.30818,0.304841,0.30818,0.427909,0.307152
114,NA,Main_RecrDev_1996,0.0243693,0.0274374,0.0225051,0.0198596,0.0225051,0.126727,0.0219604
115,NA,Main_RecrDev_1997,-0.0234348,-0.00726047,-0.0376963,-0.0393523,-0.0376963,0.0601377,-0.0369109
116,NA,Main_RecrDev_1998,-0.299024,-0.277253,-0.319326,-0.320223,-0.319326,-0.234881,-0.317485
117,NA,Main_RecrDev_1999,0.631345,0.674164,0.60016,0.600279,0.60016,0.683669,0.602417
118,NA,Main_RecrDev_2000,0.732128,0.78829,0.689787,0.690405,0.689787,0.736038,0.697297
119,NA,Main_RecrDev_2001,0.309175,0.40936,0.255749,0.256353,0.255749,0.175094,0.270034
120,NA,Main_RecrDev_2002,-0.447303,-0.483714,-0.413572,-0.41655,-0.413573,-0.51628,-0.411258
121,NA,Main_RecrDev_2003,0.54202,0.660552,0.481903,0.48397,0.481904,0.378148,0.49671
122,NA,Main_RecrDev_2004,-1.01491,-1.10986,-0.959216,-0.962303,-0.959216,-1.02908,-0.961818
123,NA,Main_RecrDev_2005,0.541606,0.644493,0.498107,0.500322,0.498108,0.37342,0.508527
124,NA,Main_RecrDev_2006,0.0420571,0.121487,0.0153551,0.01758,0.0153551,-0.0186555,0.0167455
125,NA,Main_RecrDev_2007,-0.278193,-0.216522,-0.294534,-0.292323,-0.294534,-0.279273,-0.297032
126,NA,Main_RecrDev_2008,0.980774,1.0952,0.917597,0.922939,0.917597,0.88074,0.921864
127,NA,Main_RecrDev_2009,-0.361975,-0.271804,-0.41029,-0.405674,-0.41029,-0.459793,-0.408423
128,NA,Main_RecrDev_2010,0.497906,0.636077,0.407759,0.415641,0.407759,0.3753,0.413573
129,NA,Main_RecrDev_2011,0.419614,0.573278,0.305484,0.315275,0.305484,0.286839,0.313121
130,NA,Main_RecrDev_2012,0.212016,0.383619,0.0701461,0.0823907,0.0701461,0.0594443,0.0802387
131,NA,Main_RecrDev_2013,0.56402,0.745079,0.400798,0.415763,0.400799,0.378462,0.412638
132,NA,Main_RecrDev_2014,0.481088,0.663291,0.297463,0.315613,0.297463,0.257054,0.310752
133,NA,Main_RecrDev_2015,-0.243498,-0.0725984,-0.443363,-0.42234,-0.443362,-0.501495,-0.428856
134,NA,Main_RecrDev_2016,0.77026,0.958769,0.523541,0.550049,0.523541,0.432874,0.540497
135,NA,Main_RecrDev_2017,-0.637062,-0.517201,-0.880123,-0.851876,-0.880123,-1.04206,-0.868606
136,NA,Late_RecrDev_2018,0,0,0,0,0,0,0
137,NA,Late_RecrDev_2019,0,0,0,0,0,0,0
138,NA,Late_RecrDev_2020,0,0,0,0,0,0,0
139,NA,Late_RecrDev_2021,0,0,0,0,0,0,0
140,NA,Late_RecrDev_2022,0,0,0,0,0,0,0
141,NA,ForeRecr_2023,0,0,0,0,0,0,0
142,NA,InitF_seas_1_flt_1Trawl_wdis,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
143,NA,InitF_seas_1_flt_2Non-Trawl_wdis,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
144,NA,InitF_seas_1_flt_3Ocean,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
145,NA,InitF_seas_1_flt_4Shore,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
146,NA,LnQ_base_Non-Trawl_wdis(2),-5.81714,-6.35487,-5.33323,-5.35701,-5.33323,-5.89941,-5.3809
147,NA,Q_extraSD_Non-Trawl_wdis(2),0.0279839,0.0617555,0.0382414,0.0330458,0.0382413,0.0734791,0.0339157
148,NA,LnQ_base_Ocean(3),-9.23356,-9.7432,-8.79342,-8.81468,-8.79342,-9.33449,-8.83613
149,NA,Q_extraSD_Ocean(3),0.283645,0.346055,0.211964,0.218876,0.211964,0.167445,0.220221
150,NA,LnQ_base_MPA(5),-7.39063,-7.98977,-6.85539,-6.88344,-6.85539,-7.43599,-6.91033
151,NA,Q_extraSD_MPA(5),0.166822,0.196506,0.120891,0.126004,0.120891,0.122333,0.124561
152,NA,LnQ_base_Acoustic_Visual(6),0.6,0,1.17308,0,1.17308,0.730104,1.11963
153,NA,Q_extraSD_Acoustic_Visual(6),0,0,0,0,0,0,0
154,NA,LnQ_base_Tag(7),-1.17676,-1.66475,-0.787831,-0.802886,-0.787831,-1.386,-1.386
155,NA,Q_extraSD_Tag(7),0.157977,0.179545,0.139049,0.140505,0.139049,0,0.554755
156,NA,LnQ_base_MRFSS(8),-7.69107,-7.99869,-7.4752,-7.48462,-7.4752,-7.80737,-7.49258
157,NA,Q_extraSD_MRFSS(8),0.396729,0.387042,0.405449,0.407857,0.405449,0.280782,0.404477
158,NA,Size_DblN_peak_Trawl_wdis(1),52.5325,51.9002,53.2314,53.2113,53.2314,51.8031,53.1607
159,NA,Size_DblN_top_logit_Trawl_wdis(1),0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372
160,NA,Size_DblN_ascend_se_Trawl_wdis(1),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
161,NA,Size_DblN_descend_se_Trawl_wdis(1),-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
162,NA,Size_DblN_start_logit_Trawl_wdis(1),-10,-10,-10,-10,-10,-10,-10
163,NA,Size_DblN_end_logit_Trawl_wdis(1),11.513,11.513,11.513,11.513,11.513,11.513,11.513
164,NA,Size_DblN_peak_Non-Trawl_wdis(2),42.6289,42.2669,43.1162,43.1045,43.1162,42.1579,43.0657
165,NA,Size_DblN_top_logit_Non-Trawl_wdis(2),-12,-12,-12,-12,-12,-12,-12
166,NA,Size_DblN_ascend_se_Non-Trawl_wdis(2),4,4,4,4,4,4,4
167,NA,Size_DblN_descend_se_Non-Trawl_wdis(2),2.15994,2.26779,1.7632,1.7769,1.7632,2.30647,1.82384
168,NA,Size_DblN_start_logit_Non-Trawl_wdis(2),-15,-15,-15,-15,-15,-15,-15
169,NA,Size_DblN_end_logit_Non-Trawl_wdis(2),-1.5788,-1.84574,-1.10106,-1.11678,-1.10106,-1.92279,-1.16227
170,NA,Size_DblN_peak_Ocean(3),41.8384,41.5115,42.2317,42.2215,42.2317,41.394,42.1862
171,NA,Size_DblN_top_logit_Ocean(3),-12,-12,-12,-12,-12,-12,-12
172,NA,Size_DblN_ascend_se_Ocean(3),4,4,4,4,4,4,4
173,NA,Size_DblN_descend_se_Ocean(3),2.69017,2.73332,2.6208,2.62306,2.6208,2.75333,2.63188
174,NA,Size_DblN_start_logit_Ocean(3),-15,-15,-15,-15,-15,-15,-15
175,NA,Size_DblN_end_logit_Ocean(3),-0.979909,-1.29372,-0.555125,-0.569326,-0.555125,-1.37621,-0.604161
176,NA,Size_DblN_peak_Shore(4),22.0747,21.6568,22.3713,22.3516,22.3713,22.2563,22.3503
177,NA,Size_DblN_top_logit_Shore(4),4,4,4,4,4,4,4
178,NA,Size_DblN_ascend_se_Shore(4),3,3,3,3,3,3,3
179,NA,Size_DblN_descend_se_Shore(4),0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824
180,NA,Size_DblN_start_logit_Shore(4),-15,-15,-15,-15,-15,-15,-15
181,NA,Size_DblN_end_logit_Shore(4),4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183
182,NA,Size_DblN_peak_MPA(5),43.3327,42.8238,43.8639,43.8491,43.8639,42.7918,43.7953
183,NA,Size_DblN_top_logit_MPA(5),-12,-12,-12,-12,-12,-12,-12
184,NA,Size_DblN_ascend_se_MPA(5),4,4,4,4,4,4,4
185,NA,Size_DblN_descend_se_MPA(5),1.22829,1.91905,0.417662,0.442068,0.417662,1.96365,0.531817
186,NA,Size_DblN_start_logit_MPA(5),-15,-15,-15,-15,-15,-15,-15
187,NA,Size_DblN_end_logit_MPA(5),-1.28204,-1.74742,-0.90999,-0.920258,-0.90999,-1.84221,-0.949068
188,NA,Size_DblN_peak_Acoustic_Visual(6),25,25,25,25,25,25,25
189,NA,Size_DblN_top_logit_Acoustic_Visual(6),3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947
190,NA,Size_DblN_ascend_se_Acoustic_Visual(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
191,NA,Size_DblN_descend_se_Acoustic_Visual(6),-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
192,NA,Size_DblN_start_logit_Acoustic_Visual(6),-15,-15,-15,-15,-15,-15,-15
193,NA,Size_DblN_end_logit_Acoustic_Visual(6),11.513,11.513,11.513,11.513,11.513,11.513,11.513
194,NA,Size_inflection_Tag(7),32,32,32,32,32,32,32
195,NA,Size_95%width_Tag(7),1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
196,NA,SizeSel_P1_MRFSS(8),-1,-1,-1,-1,-1,-1,-1
197,NA,SizeSel_P2_MRFSS(8),-1,-1,-1,-1,-1,-1,-1
198,NA,LnQ_base_Tag(6),NA,NA,NA,NA,NA,NA,NA
199,NA,Q_extraSD_Tag(6),NA,NA,NA,NA,NA,NA,NA
200,NA,LnQ_base_MRFSS(7),NA,NA,NA,NA,NA,NA,NA
201,NA,Q_extraSD_MRFSS(7),NA,NA,NA,NA,NA,NA,NA
202,NA,Size_inflection_Tag(6),NA,NA,NA,NA,NA,NA,NA
203,NA,Size_95%width_Tag(6),NA,NA,NA,NA,NA,NA,NA
204,NA,SizeSel_P1_MRFSS(7),NA,NA,NA,NA,NA,NA,NA
205,NA,SizeSel_P2_MRFSS(7),NA,NA,NA,NA,NA,NA,NA
206,NA,LnQ_base_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
207,NA,Q_extraSD_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
208,NA,Size_DblN_peak_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
209,NA,Size_DblN_top_logit_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
210,NA,Size_DblN_ascend_se_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
211,NA,Size_DblN_descend_se_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
212,NA,Size_DblN_start_logit_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
213,NA,Size_DblN_end_logit_Acoustic_Visual(5),NA,NA,NA,NA,NA,NA,NA
214,NA,LnQ_base_SMURF(9),NA,NA,NA,NA,NA,NA,NA
215,NA,Q_extraSD_SMURF(9),NA,NA,NA,NA,NA,NA,NA
216,NA,ln(DM_theta)_Len_P1,NA,NA,NA,NA,NA,NA,NA
217,NA,ln(DM_theta)_Len_P2,NA,NA,NA,NA,NA,NA,NA
218,NA,ln(DM_theta)_Len_P3,NA,NA,NA,NA,NA,NA,NA
219,NA,ln(DM_theta)_Len_P4,NA,NA,NA,NA,NA,NA,NA
220,NA,ln(DM_theta)_Len_P5,NA,NA,NA,NA,NA,NA,NA
221,NA,ln(DM_theta)_Age_P6,NA,NA,NA,NA,NA,NA,NA
222,NA,ln(DM_theta)_Age_P7,NA,NA,NA,NA,NA,NA,NA
223,NA,ln(DM_theta)_Age_P8,NA,NA,NA,NA,NA,NA,NA
224,Derived quantities,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,SB0,1632.81,2194.04,1312.83,1326.79,1312.83,1730.45,1336.98
226,NA,SSB_2023,899.771,1867.42,414.187,436.601,414.187,844.178,448.416
227,NA,Bratio_2023,0.551058,0.851133,0.315492,0.329067,0.315492,0.487837,0.335395
228,NA,MSY_SPR,454.965,591.989,379.576,383.201,379.576,465.78,385.051
229,NA,F_SPR,0.064922,0.0654201,0.0643004,0.0643157,0.0643004,0.0656603,0.0643677
